Name,Level,Category,Casting Time,Casting Cost,Range,Radius,Target,Damage,Duration,Defense,Applied Conditions
Elemental Bolt V,5,Offense,1 AP,5 Health,30 ft. (line of sight),N/A,One creature,"4d4 Fire, Ice, or Electric",Instantaneous,Dodge (dice pool + Reflex),N/A
Inoen's Salve,5,Healing,1 AP,5 Health,Touch,N/A,One creature,N/A,Instantaneous,N/A,Removes: Poisoned
Kerek's Reckoning,5,Utility,1 AP,5 Health,30 ft. (line of sight),N/A,One creature,N/A,Instantaneous,Willpower (dice pool + Willpower),N/A
Lightning Arc,5,"Offense, Crowd Control",1 AP,5 Health,60 ft. (line of sight),N/A,One creature,2d6 Lightning,Concentration,Dodge (dice pool + Reflex),"Electrified, Immobilized"
Nunor's Favor,5,Defense,1 AP,5 Health,30 ft.,10 ft.,A point within range,N/A,8 hours,N/A,N/A
Tuvien's Bond,5,"Defense, Utility",1 AP,5 Health,Touch,N/A,Two willing creatures,N/A,Until dismissed,N/A,N/A
Elemental Bolt VI,6,Offense,1 AP,6 Health,30 ft. (line of sight),N/A,One creature,"2d10 Fire, Ice, or Electric",Instantaneous,Dodge (dice pool + Reflex),N/A
Inoen's Blessing,6,Defense,1 AP,6 Health,Self,30 ft.,All allies within radius,N/A,Concentration,N/A,N/A
Ordred's Respite,6,"Crowd Control, Defense",1 AP,6 Health,Self,20 ft.,Caster and all allies within radius,N/A,Until dismissed,N/A,N/A
Rasgard's Rage,6,Crowd Control,1 AP,6 Health,60 ft.,60 ft. cone,All creatures within radius,N/A,Instantaneous,Dodge (dice pool + Reflex),"Stunned 1 round (success); Prone + Stunned 2 rounds (failure)"
Balathor's Wrath,7,"Offense, Crowd Control",1 AP,7 Health,30 ft. (line of sight),30 ft.,A point within range,"2d10 Fire (initial); 1d6 Fire/turn (3 rounds)",3 rounds,Dodge (dice pool + Reflex),N/A
Elemental Bolt VII,7,Offense,1 AP,7 Health,30 ft. (line of sight),N/A,One creature,"4d6 Fire, Ice, or Electric",Instantaneous,Dodge (dice pool + Reflex),N/A
Tree of Life,7,Healing,3 AP,7 Health,30 ft. (line of sight),10 ft.,A point within 30 ft.,N/A,Up to 10 rounds,N/A,N/A
Tuvien's Veil,7,Defense,1 AP,7 Health,Self,30 ft.,Caster and all allies within radius,N/A,Concentration,N/A,N/A
Balathor's Creation,8,Utility,1 AP,8 Health,Self,N/A,A point adjacent to the caster,N/A,Until all Bolg are slain,N/A,Bleeding Out (on hit past mitigation)
Elemental Bolt VIII,8,Offense,1 AP,8 Health,30 ft. (line of sight),N/A,One creature,"3d10 Fire, Ice, or Electric",Instantaneous,Dodge (dice pool + Reflex),N/A
Inoen's Wail,8,Crowd Control,1 AP,8 Health,Self,30 ft.,All enemies within radius,N/A,Concentration,Willpower (dice pool + Willpower),Incapacitated (on failed defense)
Televard's Fury,8,Offense,1 AP,8 Health,30 ft.,30 ft. cone,All creatures within radius,"4d12 Fire (failure); 2d12 Fire (success)",Instantaneous,Dodge (dice pool + Reflex),N/A
Tuvien's Covenant,8,Utility,1 AP,8 Health,30 ft.,N/A,Two willing parties,N/A,Permanent until fulfilled or broken,N/A,N/A
Elemental Bolt IX,9,Offense,1 AP,9 Health,30 ft. (line of sight),N/A,One creature,"4d10 Fire, Ice, or Electric",Instantaneous,Dodge (dice pool + Reflex),N/A
Lightning Storm,9,Offense,1 AP,9 Health,120 ft. (line of sight),120 ft. (from primary target),"One creature (primary); secondary targets chosen within radius of primary","6d6 Lightning (primary); 3d6 Lightning (secondary)",Concentration,None,"Electrified, Immobilized"
Nunor's Trident,9,Utility,1 AP,9 Health,Self,N/A,N/A,N/A,Instantaneous,N/A,N/A
Tuvien's Answer,9,Utility,1 AP,9 Health,Self,N/A,Self,N/A,Instantaneous,N/A,N/A
